Model,Accuracy,Macro F1,Weighted F1,ROC-AUC
Original Features,0.9909944804880411,0.8394086975549347,0.9911501790428998,0.9829463607676917
Deviation Only,0.9915754817468772,0.84778036248,0.9915984011974981,0.9917022382856521
Deviation + Percentile,0.9914786482037378,0.8476386947900112,0.9915254248239045,0.9929871778409611
