Model,Accuracy,Macro F1,Weighted F1,ROC-AUC
Logistic Regression,0.9307640166553695,0.645187315345228,0.9486855750578408,0.9881308516121626
HGB Baseline,0.9909944804880411,0.8394086975549347,0.9911501790428998,0.9829463607676917
Normality Fusion,0.9914786482037378,0.8476386947900112,0.9915254248239045,0.9929871778409611
